case_id,enabled,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
mlkem512__ml_dsa_44,1,MLKEM512,pqc,1,800,768,32,ML-DSA-44,pqc,2,1312,2560,2420,ML-DSA-44,1,0,required,
ecdhe_p_256__ecdsa_p_256,1,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ECDSA-P-256,1,0,required,
