case_id,enabled,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
certgen__ml_dsa_44,1,ECDHE-P-256,classic,1,65,65,32,ML-DSA-44,pqc,2,1312,2560,2420,ML-DSA-44,1,0,required,
certgen__ml_dsa_65,1,ECDHE-P-256,classic,1,65,65,32,ML-DSA-65,pqc,3,1952,4032,3309,ML-DSA-65,1,0,required,
certgen__ml_dsa_87,1,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,ML-DSA-87,1,0,required,
certgen__ecdsa_p_256,1,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-256,classic,1,65,32,64,ECDSA-P-256,1,0,required,
certgen__ecdsa_p_384,1,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-384,classic,3,97,48,96,ECDSA-P-384,1,0,required,
certgen__ecdsa_p_521,1,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ECDSA-P-521,1,0,required,
