case_id,enabled,pki_chain_id,pki_kind,root_sig_alg,intermediate_sig_alg,leaf_sig_alg,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
ecdhe_p_256__root_slh_dsa_shake_256s__leaf_ecdsa_p_521,1,root_slh_dsa_shake_256s__leaf_ecdsa_p_521,heavy_root,SLH-DSA-SHAKE-256s,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_256s__leaf_ml_dsa_87,1,root_slh_dsa_shake_256s__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256s,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_256f__leaf_ecdsa_p_521,1,root_slh_dsa_shake_256f__leaf_ecdsa_p_521,heavy_root,SLH-DSA-SHAKE-256f,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__root_slh_dsa_shake_256f__leaf_ml_dsa_87,1,root_slh_dsa_shake_256f__leaf_ml_dsa_87,heavy_root,SLH-DSA-SHAKE-256f,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
ecdhe_p_256__root_rsa_pss_15360__leaf_ecdsa_p_521,1,root_rsa_pss_15360__leaf_ecdsa_p_521,heavy_root,RSA-PSS-15360,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__root_rsa_pss_15360__leaf_ml_dsa_87,1,root_rsa_pss_15360__leaf_ml_dsa_87,heavy_root,RSA-PSS-15360,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
ecdhe_p_256__root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,1,root_lms_hss_l2_h10_w4__leaf_ecdsa_p_521,heavy_root,LMS-HSS-L2-H10-W4,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__root_lms_hss_l2_h10_w4__leaf_ml_dsa_87,1,root_lms_hss_l2_h10_w4__leaf_ml_dsa_87,heavy_root,LMS-HSS-L2-H10-W4,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
ecdhe_p_256__root_xmss_sha2_20_256__leaf_ecdsa_p_521,1,root_xmss_sha2_20_256__leaf_ecdsa_p_521,heavy_root,XMSS-SHA2_20_256,ECDSA-P-521,ECDSA-P-521,ECDHE-P-256,classic,1,65,65,32,ECDSA-P-521,classic,5,133,66,132,ecdsa_secp521r1_sha512,5,0,required,
ecdhe_p_256__root_xmss_sha2_20_256__leaf_ml_dsa_87,1,root_xmss_sha2_20_256__leaf_ml_dsa_87,heavy_root,XMSS-SHA2_20_256,ML-DSA-87,ML-DSA-87,ECDHE-P-256,classic,1,65,65,32,ML-DSA-87,pqc,5,2592,4896,4627,mldsa87,5,0,required,
