case_id,enabled,kex_group,kex_family,kex_nist_level,kex_public_key_bytes,kex_ciphertext_bytes,kex_shared_secret_bytes,cert_sig_alg,sig_family,sig_nist_level,sig_public_key_bytes,sig_private_key_bytes,sig_signature_bytes,certificate_verify_alg,iterations,warmup_iterations,expected_support,notes
secp384r1mlkem1024__ml_dsa_87,1,SecP384r1MLKEM1024,pqc,5,1665,1665,80,ML-DSA-87,pqc,5,2592,4896,4627,ML-DSA-87,2,0,required,
ecdhe_p_521__slh_dsa_shake_256s,1,ECDHE-P-521,classic,5,133,133,66,SLH-DSA-SHAKE-256s,pqc,5,64,128,29792,ECDSA-P-521,2,0,required,SLH-DSA signs the chain; TLS CertificateVerify uses ECDSA
x25519mlkem768__xmss_sha2_20_256,1,X25519MLKEM768,pqc,3,1216,1120,64,XMSS-SHA2_20_256,pqc,5,68,2573,2820,XMSS-SHA2_20_256,2,0,required,XMSS signs the chain; TLS CertificateVerify uses ECDSA
mlkem1024__ml_dsa_87,1,MLKEM1024,pqc,5,1568,1568,32,ML-DSA-87,pqc,5,2592,4896,4627,ML-DSA-87,2,0,required,
